run_id,scenario_name,seed,simulation_time,target_time,total_vehicle_count,average_speed,average_waiting_time,stopped_vehicle_count,seconds_in_current_phase,N_in_0__vehicle_count,N_in_0__average_speed,N_in_0__average_waiting_time,N_in_0__max_waiting_time,N_in_0__stopped_vehicle_count,N_in_0__current_signal_state,N_in_0__arrival_rate,N_in_0__departure_rate,N_in_0__stopped_vehicle_count_trend,N_in_0__waiting_time_trend,N_in_1__vehicle_count,N_in_1__average_speed,N_in_1__average_waiting_time,N_in_1__max_waiting_time,N_in_1__stopped_vehicle_count,N_in_1__current_signal_state,N_in_1__arrival_rate,N_in_1__departure_rate,N_in_1__stopped_vehicle_count_trend,N_in_1__waiting_time_trend,N_in_2__vehicle_count,N_in_2__average_speed,N_in_2__average_waiting_time,N_in_2__max_waiting_time,N_in_2__stopped_vehicle_count,N_in_2__current_signal_state,N_in_2__arrival_rate,N_in_2__departure_rate,N_in_2__stopped_vehicle_count_trend,N_in_2__waiting_time_trend,S_in_0__vehicle_count,S_in_0__average_speed,S_in_0__average_waiting_time,S_in_0__max_waiting_time,S_in_0__stopped_vehicle_count,S_in_0__current_signal_state,S_in_0__arrival_rate,S_in_0__departure_rate,S_in_0__stopped_vehicle_count_trend,S_in_0__waiting_time_trend,S_in_1__vehicle_count,S_in_1__average_speed,S_in_1__average_waiting_time,S_in_1__max_waiting_time,S_in_1__stopped_vehicle_count,S_in_1__current_signal_state,S_in_1__arrival_rate,S_in_1__departure_rate,S_in_1__stopped_vehicle_count_trend,S_in_1__waiting_time_trend,S_in_2__vehicle_count,S_in_2__average_speed,S_in_2__average_waiting_time,S_in_2__max_waiting_time,S_in_2__stopped_vehicle_count,S_in_2__current_signal_state,S_in_2__arrival_rate,S_in_2__departure_rate,S_in_2__stopped_vehicle_count_trend,S_in_2__waiting_time_trend,E_in_0__vehicle_count,E_in_0__average_speed,E_in_0__average_waiting_time,E_in_0__max_waiting_time,E_in_0__stopped_vehicle_count,E_in_0__current_signal_state,E_in_0__arrival_rate,E_in_0__departure_rate,E_in_0__stopped_vehicle_count_trend,E_in_0__waiting_time_trend,E_in_1__vehicle_count,E_in_1__average_speed,E_in_1__average_waiting_time,E_in_1__max_waiting_time,E_in_1__stopped_vehicle_count,E_in_1__current_signal_state,E_in_1__arrival_rate,E_in_1__departure_rate,E_in_1__stopped_vehicle_count_trend,E_in_1__waiting_time_trend,E_in_2__vehicle_count,E_in_2__average_speed,E_in_2__average_waiting_time,E_in_2__max_waiting_time,E_in_2__stopped_vehicle_count,E_in_2__current_signal_state,E_in_2__arrival_rate,E_in_2__departure_rate,E_in_2__stopped_vehicle_count_trend,E_in_2__waiting_time_trend,W_in_0__vehicle_count,W_in_0__average_speed,W_in_0__average_waiting_time,W_in_0__max_waiting_time,W_in_0__stopped_vehicle_count,W_in_0__current_signal_state,W_in_0__arrival_rate,W_in_0__departure_rate,W_in_0__stopped_vehicle_count_trend,W_in_0__waiting_time_trend,W_in_1__vehicle_count,W_in_1__average_speed,W_in_1__average_waiting_time,W_in_1__max_waiting_time,W_in_1__stopped_vehicle_count,W_in_1__current_signal_state,W_in_1__arrival_rate,W_in_1__departure_rate,W_in_1__stopped_vehicle_count_trend,W_in_1__waiting_time_trend,W_in_2__vehicle_count,W_in_2__average_speed,W_in_2__average_waiting_time,W_in_2__max_waiting_time,W_in_2__stopped_vehicle_count,W_in_2__current_signal_state,W_in_2__arrival_rate,W_in_2__departure_rate,W_in_2__stopped_vehicle_count_trend,W_in_2__waiting_time_trend,N_in_0__target__vehicle_count,N_in_0__target__average_waiting_time,N_in_1__target__vehicle_count,N_in_1__target__average_waiting_time,N_in_2__target__vehicle_count,N_in_2__target__average_waiting_time,S_in_0__target__vehicle_count,S_in_0__target__average_waiting_time,S_in_1__target__vehicle_count,S_in_1__target__average_waiting_time,S_in_2__target__vehicle_count,S_in_2__target__average_waiting_time,E_in_0__target__vehicle_count,E_in_0__target__average_waiting_time,E_in_1__target__vehicle_count,E_in_1__target__average_waiting_time,E_in_2__target__vehicle_count,E_in_2__target__average_waiting_time,W_in_0__target__vehicle_count,W_in_0__target__average_waiting_time,W_in_1__target__vehicle_count,W_in_1__target__average_waiting_time,W_in_2__target__vehicle_count,W_in_2__target__average_waiting_time
accident_seed1,accident,1,0.05,15.15,12.0,13.499148,0.0,0.0,0.05000000000000071,1.0,13.89,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.89,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.89,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.535725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.677483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.298286000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.248282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.1,0.0,0.0,1.0,0.0,1.0,1.1,1.0,0.0,4.0,0.2375,1.0,0.6,1.0,1.1,2.0,0.275,1.0,1.1
accident_seed1,accident,1,2.1,17.2,16.0,13.700212062159695,0.0,0.0,2.100000000000001,1.0,13.869977580213455,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.929413753474625,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.599540819294752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.991515667519998,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.899142072244196,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.843143005070743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.504437708664824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.65525010198504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.293010009044004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.843543182199356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.215260697570564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.860091771999143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.15,0.0,0.0,1.0,0.0,1.0,3.15,1.0,1.95,5.0,0.6,1.0,2.65,1.0,3.15,3.0,0.8666666666666667,1.0,3.15
accident_seed1,accident,1,3.1,18.2,17.0,13.530664438720196,0.0,0.0,3.100000000000001,1.0,13.842851920913672,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.84846658185468,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.576511909216645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.97928622050211,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.883404956189263,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.82693116823095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.51741445077341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.789474453873865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.283943348599053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.878644944782137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.217217270252075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.849110517011724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.15,0.0,0.0,1.0,0.0,1.0,4.15,1.0,2.95,5.0,0.8,1.0,3.65,1.0,4.15,3.0,1.2,1.0,4.15
accident_seed1,accident,1,4.15,19.2,17.0,13.536033941990624,0.0,0.0,4.150000000000001,1.0,13.837094962238334,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.882505568080877,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.661797020718456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.976584662359674,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.877644277596168,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.879429849246517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.505085404151957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.787312602000318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.24084177818025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.863194807184628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.21701953769158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.832271957022604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.15,0.0,0.0,1.0,0.0,1.0,5.15,1.0,3.95,5.0,1.04,1.0,4.65,1.0,5.15,3.0,1.8499999999999999,1.0,5.15
accident_seed1,accident,1,5.15,20.2,17.0,13.528039074795576,0.0,0.0,5.150000000000001,1.0,13.846664118521149,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.866098702539912,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.658267410978677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.989490826618857,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.863315114910122,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.838638300377644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.479846097504394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.790691613726821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.244799289441355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.840772577524186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.207240695147071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.83280178418383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.15,0.0,0.0,1.0,0.0,1.0,6.15,1.0,4.95,5.0,1.44,1.0,5.65,1.0,6.15,3.0,2.5166666666666666,1.0,6.15
accident_seed1,accident,1,6.15,21.2,18.0,13.461011308585533,0.0,0.0,6.150000000000001,1.0,13.847662866184256,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.871212585344775,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.633608683630825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.995390486135147,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.875489402973802,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.860245788530447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.501374925750913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.650366504441463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.238832145437986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.876233674586985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.203025082774186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.843934824331663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,9.15,0.0,0.0,1.0,0.0,1.0,7.15,1.0,5.95,5.0,1.8399999999999999,1.0,6.65,1.0,7.15,3.0,3.1833333333333336,1.0,7.15
accident_seed1,accident,1,7.15,22.2,18.0,13.445485754511985,0.0,0.0,7.150000000000001,1.0,13.888654748530826,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.858397825122207,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.60084142034501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.999397112699226,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.854922958458458,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.842819665746065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.471344156879837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.611116279535524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.294100841008978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.830129837456626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.186881908433625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.846585296378471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.075,1.0,0.0,1.0,0.0,1.0,8.15,1.0,6.95,5.0,2.2399999999999998,1.0,7.65,1.0,8.15,3.0,3.85,1.0,8.15
accident_seed1,accident,1,8.15,23.2,18.0,13.440603634675318,0.0,0.0,8.15,1.0,13.838969127335586,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.835330527739057,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.602050128228964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.995769498830196,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.858216315182363,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.862904545363271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.518875933373254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.56749340332054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.285340936378264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.850419382399414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.229260458581006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.860947655959754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.575,1.0,0.0,2.0,0.0,2.0,4.575,1.0,7.95,5.0,2.73,1.0,8.65,1.0,9.15,3.0,4.516666666666667,1.0,9.15
accident_seed1,accident,1,9.15,24.2,18.0,13.397956389607517,0.0,0.0,9.15,1.0,13.828006640132518,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.83675072239385,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.15666928370673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.973130563581362,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.8391389733308,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.88380672349711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.495626213451521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.515531360869348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.259997277361029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.842399432037492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.237118423990843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.835437196259155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.075,1.0,0.0,2.0,0.0,2.0,5.075,2.0,4.475,5.0,3.3299999999999996,1.0,9.65,1.0,10.15,3.0,5.183333333333334,1.0,10.15
accident_seed1,accident,1,10.15,25.2,18.0,13.086689688920266,0.0,0.0,10.15,1.0,13.86884860889404,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.8560796728889,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,10.68906839466886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.989209396487567,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,13.831534974129791,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.842655311018461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.514710352137824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.461154797457793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.278771196168302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.869398086862638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.214244538644966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.859415493168635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.575,1.0,0.0,2.0,0.0,2.0,5.575,2.0,4.975,5.0,3.9299999999999997,1.0,10.65,2.0,5.575,3.0,5.8500000000000005,1.0,11.15
